shipment_id,order_id,vehicle_id,scheduled_delivery,actual_delivery,delivery_cost
231,1286,30,2023-01-24,2023-01-24,105.969467352077
232,1713,26,2023-03-09,2023-03-10,235.8190084995689
233,3683,29,2023-11-13,2023-11-13,25.43054124533643
234,1673,47,2023-11-18,2023-11-19,419.025733891966
235,3538,20,2023-12-19,2023-12-18,418.47363748823614
236,1304,61,2023-07-13,2023-07-12,93.97382388653205
237,288,69,2023-03-31,2023-04-02,63.176965799669766
238,1291,28,2023-02-07,2023-02-07,213.37589132141665
239,3561,30,2023-12-25,2023-12-25,140.4086495914424
240,4262,92,2023-10-12,2023-10-15,475.483769710718
241,4848,75,2023-06-18,2023-06-20,87.12460701242095
242,4869,69,2023-12-05,2023-12-08,115.63791705126215
243,3679,55,2023-03-30,2023-04-02,419.97811443664955
244,3647,36,2023-06-11,2023-06-12,307.07784283855614
245,165,26,2023-07-27,2023-07-28,194.00780296738037
246,4387,60,2023-02-16,2023-02-19,66.52028382073996
247,1039,7,2023-04-28,2023-05-01,475.28568163526165
248,928,72,2023-09-03,2023-09-05,455.5731604868999
249,4757,92,2023-03-11,2023-03-10,263.7976720787463
250,4416,30,2023-03-06,2023-03-06,454.92061708026756
251,4165,78,2023-10-06,2023-10-05,128.3324197241024
252,4525,11,2023-06-23,2023-06-26,273.40756972009615
253,2128,34,2023-06-20,2023-06-23,76.72817674110792
254,1461,6,2023-08-07,2023-08-09,426.6200561864056
255,1682,18,2023-04-23,2023-04-22,263.79798227871123
256,3624,10,2023-08-05,2023-08-08,49.27687273541941
257,2637,59,2023-03-26,2023-03-27,496.44842501834535
258,2767,4,2023-01-17,2023-01-16,392.2233036412871
259,199,93,2023-01-16,2023-01-15,168.02333847293795
260,4800,11,2023-02-12,2023-02-12,245.58214043835875
261,805,57,2023-10-03,2023-10-04,38.05131298197979
262,4956,4,2023-03-18,2023-03-19,163.29357270696815
263,944,65,2023-11-27,2023-11-28,378.7393730368285
264,2137,21,2023-02-13,2023-02-16,408.2552787847248
265,4919,86,2023-10-23,2023-10-26,243.62138562440916
266,4024,67,2023-02-09,2023-02-09,96.10523383270903
267,2368,65,2023-11-15,2023-11-14,163.91568098908792
268,3842,6,2023-09-17,2023-09-19,238.98326011645167
269,362,77,2023-01-26,2023-01-25,334.3981857451036
270,2013,49,2023-06-26,2023-06-27,53.457391985645145
271,4227,36,2023-09-29,2023-09-29,208.53984046789535
272,4613,16,2023-05-01,2023-05-03,83.14379878992632
273,2208,66,2023-04-27,2023-04-28,191.08748528397615
274,402,47,2023-06-08,2023-06-08,394.7185547846879
275,3075,94,2023-01-22,2023-01-25,360.0011730886566
276,3849,7,2023-07-28,2023-07-28,127.79102981828075
277,4933,79,2023-10-13,2023-10-15,312.8646397887748
278,140,99,2023-11-16,2023-11-19,100.53554953355844
279,529,8,2023-05-18,2023-05-17,464.78791385874985
280,3209,33,2023-09-28,2023-09-27,446.2004427041023
281,4336,95,2023-01-03,2023-01-04,316.5334203787867
282,2119,83,2023-04-01,2023-04-04,474.73815748158444
283,4084,32,2023-09-22,2023-09-22,195.26308120719253
284,1538,68,2023-11-28,2023-11-27,205.85726917700265
285,1985,20,2023-12-11,2023-12-10,79.33546797451243
286,3278,80,2023-12-14,2023-12-15,365.7349095026169
287,4274,74,2023-11-27,2023-11-28,209.74419382078568
288,1300,3,2023-05-05,2023-05-07,380.67493290696774
289,1070,48,2023-09-28,2023-09-30,114.79841605578
290,2537,100,2023-05-09,2023-05-08,236.3629893063579
291,335,50,2023-05-30,2023-06-01,86.76928537928517
292,3062,97,2023-05-29,2023-05-28,101.4286529094487
293,1877,93,2023-12-12,2023-12-13,176.56605144068533
294,1532,38,2023-04-09,2023-04-08,337.645543303023
295,3849,49,2023-06-07,2023-06-09,398.125947692215
296,2381,66,2023-10-22,2023-10-25,257.55600518714243
297,185,99,2023-04-26,2023-04-25,190.50217902889293
298,4556,90,2023-09-14,2023-09-17,97.44276811855774
299,2257,43,2023-03-10,2023-03-12,308.9466670718725
300,505,87,2023-12-19,2023-12-20,28.395081102483953
301,472,38,2023-05-03,2023-05-03,459.0780945562228
302,1712,98,2023-07-01,2023-07-01,415.9775326985429
303,2112,76,2023-06-11,2023-06-10,203.412800482966
304,1818,19,2023-02-22,2023-02-21,56.34169555112503
305,4915,59,2023-09-27,2023-09-29,363.4133453705333
306,1014,70,2023-01-25,2023-01-28,488.03922755512036
307,1976,76,2023-02-16,2023-02-16,251.36471752988774
308,1104,52,2023-11-26,2023-11-27,499.727352936578
309,322,53,2023-01-18,2023-01-17,478.54318984667947
310,4137,64,2023-06-17,2023-06-19,56.70081865965894
311,4102,53,2023-10-10,2023-10-13,446.99370871564116
312,88,24,2023-04-17,2023-04-16,498.6589237841719
313,241,76,2023-02-24,2023-02-25,391.5301780653083
314,918,71,2023-03-07,2023-03-10,266.69617498606425
315,108,32,2023-12-19,2023-12-21,173.5874600813819
316,4075,34,2023-05-26,2023-05-29,68.65346335307206
317,3404,1,2023-11-14,2023-11-14,201.96309089864323
318,4996,45,2023-03-10,2023-03-09,47.36345121638211
319,4946,10,2023-03-05,2023-03-08,323.25135319095125
320,4711,37,2023-02-25,2023-02-28,153.19931000965536
321,1896,51,2023-09-29,2023-10-01,178.04564245530932
322,217,76,2023-03-13,2023-03-15,105.40590430493901
323,1292,28,2023-11-07,2023-11-10,257.8677684252138
324,603,31,2023-08-20,2023-08-21,174.2437209596514
325,3427,10,2023-02-17,2023-02-18,467.55115947035404
326,2409,17,2023-09-24,2023-09-27,209.5514858583151
327,352,47,2023-11-19,2023-11-18,391.2290371812565
328,2765,31,2023-09-10,2023-09-12,220.0480662534528
329,380,67,2023-12-22,2023-12-21,67.09119696697613
330,1056,55,2023-01-10,2023-01-09,472.4854982982568
331,454,67,2023-04-15,2023-04-16,201.38897228938976
332,4977,12,2023-01-14,2023-01-16,85.45598987940673
333,3733,10,2023-06-14,2023-06-14,58.97341554511692
334,1438,99,2023-04-22,2023-04-23,449.77187660978257
335,2915,7,2023-08-09,2023-08-12,279.64278139075566
336,3574,74,2023-02-25,2023-02-27,316.9253617170567
337,3976,55,2023-10-15,2023-10-15,314.37754626066027
338,4297,34,2023-05-29,2023-05-28,66.75599834791609
339,2491,71,2023-01-03,2023-01-06,492.72198020846173
340,1590,44,2023-06-02,2023-06-02,243.67457235446946
341,4508,95,2023-09-28,2023-09-28,209.65405138283282
342,1737,30,2023-11-27,2023-11-28,311.1091869673885
343,1017,7,2023-02-22,2023-02-23,231.25160559000673
344,148,78,2023-01-25,2023-01-28,190.43898304301013
345,4625,75,2023-12-29,2023-12-28,403.6103971435227
346,2341,74,2023-04-04,2023-04-03,360.17985692417716
347,3712,33,2023-10-26,2023-10-26,207.3989826481578
348,4898,91,2023-10-21,2023-10-24,471.8695650750518
349,3447,99,2023-11-16,2023-11-19,405.9543288810202
350,2429,71,2023-11-25,2023-11-28,382.1523757588285
351,3738,12,2023-09-25,2023-09-26,81.13871397286394
352,3000,75,2023-07-16,2023-07-19,131.6183981448159
353,2707,73,2023-02-22,2023-02-23,20.423949051102653
354,4100,40,2023-10-19,2023-10-22,398.2262920415277
355,1593,23,2023-04-08,2023-04-07,100.62775270045788
356,1828,38,2023-03-14,2023-03-16,208.06396503983748
357,4587,8,2023-07-28,2023-07-31,352.8420174960101
358,4571,61,2023-03-21,2023-03-23,323.7173405861941
359,3746,98,2023-08-02,2023-08-01,324.5486180974154
360,1425,96,2023-04-21,2023-04-22,285.2132314598965
361,1869,67,2023-11-07,2023-11-07,169.63126263299444
362,4935,47,2023-11-29,2023-11-29,450.2757309044303
363,4262,18,2023-12-03,2023-12-06,380.9359833491939
364,2333,1,2023-06-26,2023-06-28,444.7685324039728
365,966,19,2023-12-22,2023-12-25,308.9034366811262
366,2797,4,2023-10-09,2023-10-09,209.05315614753172
367,2939,70,2023-12-13,2023-12-13,222.73133161552337
368,2180,12,2023-10-09,2023-10-11,290.72750572387196
369,2824,53,2023-11-19,2023-11-18,462.49609631534815
370,1775,2,2023-10-15,2023-10-17,406.283648079018
371,805,87,2023-12-18,2023-12-18,385.5805923286113
372,4330,41,2023-10-20,2023-10-21,490.43231578673965
373,985,33,2023-04-09,2023-04-10,205.34854065864803
374,1221,31,2023-10-28,2023-10-29,426.3841339902976
375,2228,81,2023-01-21,2023-01-20,417.93968126191976
376,1346,62,2023-04-25,2023-04-24,13.191532844163468
377,4210,56,2023-11-04,2023-11-06,454.5961201471429
378,3190,9,2023-01-29,2023-01-28,418.5180349650142
379,3172,65,2023-04-14,2023-04-13,49.79491149987555
380,1584,79,2023-06-21,2023-06-20,33.478914076226346
381,543,49,2023-09-28,2023-09-27,309.9131349299829
382,2288,11,2023-05-31,2023-06-03,45.84977224722533
383,2633,7,2023-08-21,2023-08-23,389.0906171263956
384,4275,26,2023-10-26,2023-10-28,324.6158763874779
385,1177,7,2023-07-08,2023-07-08,322.37641168461823
386,2213,3,2023-09-11,2023-09-13,226.9205226259641
387,2307,51,2023-03-25,2023-03-24,360.0145309570145
388,3679,18,2023-07-26,2023-07-28,338.98277836825025
389,4885,18,2023-06-26,2023-06-25,282.1775999765607
390,755,96,2023-09-09,2023-09-11,462.1861613422025
391,391,21,2023-10-17,2023-10-20,42.72911419619196
392,2159,3,2023-07-23,2023-07-26,340.5698853837896
393,2153,9,2023-04-10,2023-04-10,109.3065568238091
394,1902,12,2023-03-09,2023-03-10,185.3606787347068
395,1403,26,2023-06-26,2023-06-28,63.26951093170393
396,4463,11,2023-08-26,2023-08-25,110.40935073999528
397,1346,87,2023-02-22,2023-02-21,305.4343142364739
398,4,49,2023-02-27,2023-02-27,377.6654623950331
399,1950,66,2023-12-09,2023-12-10,74.85457456995975
400,4062,70,2023-10-21,2023-10-22,194.2307430462499
401,1560,28,2023-08-18,2023-08-17,446.78626624687985
402,4467,38,2023-06-07,2023-06-08,300.3519618071635
403,1382,75,2023-06-15,2023-06-14,79.01705446407335
404,3241,38,2023-09-19,2023-09-18,486.80849925097857
405,775,56,2023-05-22,2023-05-23,497.5151375377257
406,1938,58,2023-04-15,2023-04-16,417.6802059247461
407,3264,61,2023-10-01,2023-09-30,464.56513575813835
408,3795,95,2023-09-13,2023-09-16,93.45591461981502
409,1530,10,2023-01-08,2023-01-08,323.14060781308694
410,4027,76,2023-10-02,2023-10-02,60.145600943641014
411,1585,34,2023-09-23,2023-09-25,94.09361415009715
412,4474,44,2023-09-09,2023-09-12,224.5861914351106
413,3490,30,2023-10-04,2023-10-04,439.55510062234754
414,4222,23,2023-10-06,2023-10-07,210.12833203589102
415,2773,30,2023-10-21,2023-10-23,480.28601834181603
416,188,64,2023-12-26,2023-12-29,276.85319701134887
417,3512,52,2023-12-15,2023-12-14,232.25112389309263
418,501,52,2023-09-12,2023-09-12,451.1531329042576
419,4246,100,2023-03-17,2023-03-16,188.89229085015245
420,19,49,2023-10-04,2023-10-04,51.332727766529906
421,1401,24,2023-04-25,2023-04-26,170.66639512928342
422,1305,12,2023-07-21,2023-07-22,17.267754605937164
423,2745,70,2023-08-18,2023-08-17,346.50627173338245
424,3318,73,2023-03-18,2023-03-17,266.1903541470902
425,1428,10,2023-10-20,2023-10-20,170.42234710048766
426,3260,59,2023-11-01,2023-10-31,283.1879428730162
427,4377,99,2023-12-16,2023-12-17,125.2574000558326
428,4989,70,2023-05-28,2023-05-31,435.3580488854756
429,1298,17,2023-01-20,2023-01-21,401.20869842630924
430,4958,89,2023-04-28,2023-05-01,222.24392747696166
431,4901,92,2023-12-21,2023-12-22,258.6070041719239
432,2391,83,2023-03-08,2023-03-09,442.4206725265297
433,2767,95,2023-11-09,2023-11-12,281.2350252156172
434,541,83,2023-02-13,2023-02-14,179.92189237038184
435,4471,65,2023-08-23,2023-08-22,350.68737790635305
436,3616,12,2023-07-02,2023-07-02,125.28765215461004
437,4457,52,2023-08-18,2023-08-20,244.02470205749933
438,4418,99,2023-12-03,2023-12-03,22.846767214038458
439,3703,36,2023-07-14,2023-07-13,482.12658279293674
440,521,93,2023-11-18,2023-11-20,252.50014580124352
441,4360,64,2023-07-16,2023-07-19,83.45936916725071
442,4708,56,2023-09-16,2023-09-18,362.0844742976168
443,1261,17,2023-06-13,2023-06-16,292.63409440305276
444,4047,96,2023-01-20,2023-01-23,165.94439017747143
445,4296,1,2023-07-24,2023-07-24,344.3459760870641
446,1946,48,2023-01-27,2023-01-28,442.6800258059047
447,2953,97,2023-07-19,2023-07-21,366.5674141315683
448,2719,88,2023-08-22,2023-08-25,28.774739839216515
449,1023,22,2023-05-24,2023-05-27,96.19453185353981
450,2807,48,2023-05-18,2023-05-19,99.45245964656111
451,4290,51,2023-08-24,2023-08-27,203.09283283421806
452,1150,46,2023-11-10,2023-11-11,100.98755503272706
453,2021,82,2023-03-10,2023-03-13,372.28665629227504
454,2206,51,2023-04-24,2023-04-24,277.6292232471153
455,4691,14,2023-06-24,2023-06-26,90.56654995498745
456,653,88,2023-12-15,2023-12-16,101.4348779707381
457,2768,93,2023-09-05,2023-09-05,457.8373854090419
458,2813,50,2023-03-27,2023-03-30,94.21002244792273
459,4827,29,2023-12-22,2023-12-22,178.2292721388716
460,4981,88,2023-07-09,2023-07-08,119.54129168108548
461,4133,14,2023-10-14,2023-10-16,190.92339969608236
462,211,83,2023-09-08,2023-09-11,138.7961829346932
463,3165,72,2023-06-16,2023-06-15,308.8430887983463
464,3996,99,2023-12-15,2023-12-16,414.18237528381076
465,1837,1,2023-04-10,2023-04-11,317.78259795426084
466,983,87,2023-09-20,2023-09-23,46.50972480994554
467,928,62,2023-11-03,2023-11-05,90.75929599237453
468,1632,67,2023-12-27,2023-12-28,295.16871009505405
469,2205,5,2023-02-14,2023-02-15,112.99107434839058
470,2520,12,2023-06-16,2023-06-17,232.30159828578
471,2677,42,2023-04-14,2023-04-13,116.1319768963524
472,1422,47,2023-11-14,2023-11-14,410.5940197821484
473,3899,94,2023-09-26,2023-09-25,126.6929300234752
474,3492,58,2023-06-12,2023-06-11,17.86781281457914
475,2178,20,2023-12-23,2023-12-22,148.90461374587954
476,714,5,2023-07-01,2023-07-01,233.75015756217292
477,4336,16,2023-12-23,2023-12-26,266.6232890763505
478,4600,8,2023-11-06,2023-11-06,381.3047544228045
479,56,35,2023-07-04,2023-07-04,125.15486928749137
480,4213,68,2023-10-13,2023-10-14,207.0748674852167
481,1122,43,2023-10-13,2023-10-15,213.88072161824167
482,2658,99,2023-10-26,2023-10-29,213.60120928455024
483,3685,69,2023-08-15,2023-08-16,156.3385854115368
